,model_combo,convs.0_pctsame,convs.0_jaccard,convs.2_pctsame,convs.2_jaccard,convs.5_pctsame,convs.5_jaccard,convs.7_pctsame,convs.7_jaccard,convs.10_pctsame,convs.10_jaccard,convs.12_pctsame,convs.12_jaccard,linear.0_pctsame,linear.0_jaccard,linear.2_pctsame,linear.2_jaccard,linear.4_pctsame,linear.4_jaccard,total_same,total_weights,total_ones_same,percent_same_total,jaccard_total
0,"(1, 6)",0.7199074074074074,0.5623869801084991,0.5636935763888888,0.3924605273098134,0.5518391927083334,0.38106209609440855,0.5613878038194444,0.39022872551053117,0.5689154730902778,0.3975414885651733,0.5890062120225694,0.4174406840350957,0.5822620391845703,0.410697925341348,0.5556640625,0.38471940500338064,0.678125,0.5130023640661938,1309378,2261184,654689,0.5790674266225128,0.2895337133112564
0,"(1, 7)",0.7210648148148148,0.5638009049773756,0.5394965277777778,0.36939078751857357,0.5439453125,0.3735747820254863,0.5643581814236112,0.3931051423280773,0.5701226128472222,0.3987213295137637,0.5876668294270834,0.41609645774211673,0.5823440551757812,0.41077953878858003,0.556793212890625,0.3858027954579095,0.67421875,0.5085444902769594,1308060,2261184,654030,0.578484546149274,0.289242273074637
0,"(1, 8)",0.7326388888888888,0.5780821917808219,0.5475802951388888,0.3770124388330656,0.5481770833333334,0.3775784753363229,0.5586480034722222,0.3875861030601874,0.5690375434027778,0.3976607078538795,0.5891282823350694,0.41756332270244156,0.5817584991455078,0.41019706361363534,0.56024169921875,0.3891220484123956,0.6625,0.4953271028037383,1307972,2261184,653986,0.5784456284849,0.28922281424245
0,"(1, 9)",0.7326388888888888,0.5780821917808219,0.5562608506944444,0.38529179662545565,0.5442708333333334,0.3738819320214669,0.5610894097222222,0.389940426815474,0.5710381401909722,0.3996174819300552,0.5876973470052084,0.41612705729823174,0.5820331573486328,0.41047021682137896,0.560882568359375,0.38974065356150733,0.65390625,0.485780615206036,1308418,2261184,654209,0.5786428702838867,0.28932143514194336
0,"(1, 10)",0.7523148148148148,0.6029684601113172,0.5464952256944444,0.3759844723974469,0.5477973090277778,0.37721821646056714,0.5616590711805556,0.3904909190351357,0.5701633029513888,0.3987611341409044,0.5865919325086806,0.4150195163027702,0.5819072723388672,0.41034500846683675,0.5628662109375,0.39165888048925507,0.66875,0.5023474178403756,1307562,2261184,653781,0.5782643075486117,0.28913215377430584
0,"(1, 11)",0.7534722222222222,0.6044568245125348,0.56884765625,0.39747526441487546,0.5482584635416666,0.3776556981893604,0.5624593098958334,0.3912649664581505,0.5687120225694444,0.39734283494115197,0.5882975260416666,0.41672911742664437,0.5812149047851562,0.40965675967800047,0.55596923828125,0.3850120461557969,0.671875,0.5058823529411764,1307948,2261184,653974,0.5784350145764343,0.28921750728821716
0,"(1, 12)",0.7280092592592593,0.5723384895359418,0.5330946180555556,0.3634144537317849,0.5472819010416666,0.3767295949806734,0.5627170138888888,0.39151441944738036,0.5704684787326388,0.3990597410729958,0.5887959798177084,0.41722952273169606,0.5820236206054688,0.4104607305616684,0.563507080078125,0.39227974761530454,0.68046875,0.5156897572528123,1308728,2261184,654364,0.578779966601568,0.289389983300784
0,"(1, 13)",0.7210648148148148,0.5638009049773756,0.5556098090277778,0.38466739285580137,0.5434841579861112,0.3731398878811018,0.5587293836805556,0.38766445201483124,0.56982421875,0.398429498122226,0.5871005588107638,0.4155289058056403,0.5814132690429688,0.40985387523731154,0.558837890625,0.38776893105200744,0.6703125,0.5041128084606346,1306516,2261184,653258,0.5778017180379836,0.2889008590189918
0,"(1, 14)",0.7372685185185185,0.5838680109990834,0.54931640625,0.3786603837091888,0.54443359375,0.37403555853740356,0.5624864366319444,0.39129122045572484,0.5679728190104166,0.39662153522667537,0.5880296495225694,0.4164603380826931,0.5824432373046875,0.4108782467357725,0.563018798828125,0.3918066557648608,0.67578125,0.5103244837758112,1308306,2261184,654153,0.5785933387110469,0.28929666935552345
0,"(2, 3)",0.7164351851851852,0.5581605049594229,0.5432400173611112,0.37290976127518527,0.5509168836805556,0.3801830809262622,0.5622694227430556,0.39108121621494135,0.5689019097222222,0.3975282432329972,0.5896436903211806,0.41808136445708544,0.5815448760986328,0.40998468425221096,0.560516357421875,0.38938709745807626,0.66484375,0.49795201872440026,1308584,2261184,654292,0.5787162831507741,0.28935814157538703
