,model_combo,convs.0,convs.2,convs.5,convs.7,convs.10,convs.12,linear.0,linear.2,linear.4,total same,total weights,percent shared total
0,"(1, 6)",0.7199074074074074,0.5636935763888888,0.5518391927083334,0.5613878038194444,0.5689154730902778,0.5890062120225694,0.5822620391845703,0.5556640625,0.678125,1309378,2261184,0.5790674266225128
0,"(1, 7)",0.7210648148148148,0.5394965277777778,0.5439453125,0.5643581814236112,0.5701226128472222,0.5876668294270834,0.5823440551757812,0.556793212890625,0.67421875,1308060,2261184,0.578484546149274
0,"(1, 8)",0.7326388888888888,0.5475802951388888,0.5481770833333334,0.5586480034722222,0.5690375434027778,0.5891282823350694,0.5817584991455078,0.56024169921875,0.6625,1307972,2261184,0.5784456284849
0,"(1, 9)",0.7326388888888888,0.5562608506944444,0.5442708333333334,0.5610894097222222,0.5710381401909722,0.5876973470052084,0.5820331573486328,0.560882568359375,0.65390625,1308418,2261184,0.5786428702838867
0,"(1, 10)",0.7523148148148148,0.5464952256944444,0.5477973090277778,0.5616590711805556,0.5701633029513888,0.5865919325086806,0.5819072723388672,0.5628662109375,0.66875,1307562,2261184,0.5782643075486117
0,"(1, 11)",0.7534722222222222,0.56884765625,0.5482584635416666,0.5624593098958334,0.5687120225694444,0.5882975260416666,0.5812149047851562,0.55596923828125,0.671875,1307948,2261184,0.5784350145764343
0,"(1, 12)",0.7280092592592593,0.5330946180555556,0.5472819010416666,0.5627170138888888,0.5704684787326388,0.5887959798177084,0.5820236206054688,0.563507080078125,0.68046875,1308728,2261184,0.578779966601568
0,"(1, 13)",0.7210648148148148,0.5556098090277778,0.5434841579861112,0.5587293836805556,0.56982421875,0.5871005588107638,0.5814132690429688,0.558837890625,0.6703125,1306516,2261184,0.5778017180379836
0,"(1, 14)",0.7372685185185185,0.54931640625,0.54443359375,0.5624864366319444,0.5679728190104166,0.5880296495225694,0.5824432373046875,0.563018798828125,0.67578125,1308306,2261184,0.5785933387110469
0,"(2, 3)",0.7164351851851852,0.5432400173611112,0.5509168836805556,0.5622694227430556,0.5689019097222222,0.5896436903211806,0.5815448760986328,0.560516357421875,0.66484375,1308584,2261184,0.5787162831507741
0,"(2, 4)",0.7442129629629629,0.5498046875,0.5486111111111112,0.5643853081597222,0.5713365342881944,0.58807373046875,0.5806007385253906,0.55291748046875,0.64453125,1307268,2261184,0.5781342871699074
0,"(2, 5)",0.7361111111111112,0.556640625,0.5485297309027778,0.5625813802083334,0.5720621744791666,0.5878465440538194,0.5819530487060547,0.559783935546875,0.684375,1309284,2261184,0.5790258554810224
0,"(2, 6)",0.71875,0.5658637152777778,0.5501030815972222,0.5614827473958334,0.5707058376736112,0.5887925889756944,0.582244873046875,0.560394287109375,0.6671875,1310008,2261184,0.5793460417197362
0,"(2, 7)",0.7337962962962963,0.548828125,0.5489366319444444,0.561279296875,0.5680474175347222,0.5871683756510416,0.5805778503417969,0.55328369140625,0.65625,1305306,2261184,0.5772666001528403
0,"(2, 8)",0.7395833333333334,0.5521375868055556,0.5433485243055556,0.5624321831597222,0.5706719292534722,0.5888671875,0.58123779296875,0.56048583984375,0.66640625,1308162,2261184,0.578529655260253
0,"(2, 9)",0.7326388888888888,0.5519205729166666,0.5490993923611112,0.5605061848958334,0.5716756184895834,0.5881178114149306,0.58203125,0.558563232421875,0.64765625,1308794,2261184,0.5788091548498486
0,"(2, 10)",0.7511574074074074,0.55859375,0.5497233072916666,0.5643988715277778,0.5692409939236112,0.5882500542534722,0.5825271606445312,0.560455322265625,0.6703125,1309754,2261184,0.5792337111884747
0,"(2, 11)",0.7407407407407407,0.55126953125,0.5472819010416666,0.5628933376736112,0.571044921875,0.58905029296875,0.5817222595214844,0.5606689453125,0.67109375,1309240,2261184,0.5790063966488354
0,"(2, 12)",0.7199074074074074,0.5526258680555556,0.5528700086805556,0.5648600260416666,0.5720079210069444,0.5895284016927084,0.5817718505859375,0.560150146484375,0.66796875,1310532,2261184,0.5795777787212363
0,"(2, 13)",0.7245370370370371,0.5568576388888888,0.5422092013888888,0.5611029730902778,0.5708957248263888,0.5890943739149306,0.5816078186035156,0.56640625,0.66640625,1309006,2261184,0.5789029110412952
0,"(2, 14)",0.7430555555555556,0.5562608506944444,0.5450846354166666,0.5616455078125,0.5698581271701388,0.5892198350694444,0.5823040008544922,0.561370849609375,0.67109375,1309488,2261184,0.5791160737029803
0,"(3, 4)",0.7164351851851852,0.5519205729166666,0.5475802951388888,0.5622965494791666,0.5703870985243056,0.5866224500868056,0.5817584991455078,0.56378173828125,0.65546875,1307732,2261184,0.5783394894002434
0,"(3, 5)",0.7048611111111112,0.5539279513888888,0.5458713107638888,0.5595567491319444,0.56976318359375,0.588531494140625,0.5816917419433594,0.556793212890625,0.6625,1307688,2261184,0.5783200305680564
0,"(3, 6)",0.7372685185185185,0.5525173611111112,0.5484483506944444,0.56494140625,0.5694444444444444,0.5889960394965278,0.5822830200195312,0.563629150390625,0.675,1309956,2261184,0.5793230449180606
0,"(3, 7)",0.7337962962962963,0.5508897569444444,0.5473361545138888,0.5610894097222222,0.5703803168402778,0.5872158474392362,0.5807037353515625,0.554779052734375,0.65078125,1306168,2261184,0.5776478163652317
0,"(3, 8)",0.7268518518518519,0.5399848090277778,0.5487196180555556,0.5607367621527778,0.5713094075520834,0.588592529296875,0.5822887420654297,0.558990478515625,0.6578125,1308846,2261184,0.5788321516515241
0,"(3, 9)",0.7233796296296297,0.541015625,0.5453287760416666,0.5630967881944444,0.5706515842013888,0.586578369140625,0.5814018249511719,0.55401611328125,0.63984375,1306292,2261184,0.5777026548923042
0,"(3, 10)",0.7268518518518519,0.5517578125,0.5479329427083334,0.5635579427083334,0.5688951280381944,0.5894843207465278,0.5823688507080078,0.554718017578125,0.640625,1309212,2261184,0.5789940137556254
