Thu Dec 14 23:12:55 2023 Epoch 47, lr: 0.0000991, val loss: 69.02328, acc: 75.97000
Thu Dec 14 23:14:01 2023 Epoch 54, lr: 0.0000988, val loss: 61.35033, acc: 79.57000
Thu Dec 14 23:15:25 2023 Epoch 48, lr: 0.0000991, val loss: 71.74797, acc: 74.90000
Thu Dec 14 23:16:15 2023 Epoch 55, lr: 0.0000988, val loss: 65.08709, acc: 78.31000
Thu Dec 14 23:18:01 2023 Epoch 49, lr: 0.0000990, val loss: 68.05617, acc: 76.39000
Thu Dec 14 23:18:28 2023 Epoch 56, lr: 0.0000987, val loss: 64.42176, acc: 78.49000
Thu Dec 14 23:20:31 2023 Epoch 50, lr: 0.0000990, val loss: 68.95293, acc: 76.05000
Thu Dec 14 23:20:42 2023 Epoch 57, lr: 0.0000987, val loss: 63.52666, acc: 78.73000
Thu Dec 14 23:23:00 2023 Epoch 51, lr: 0.0000990, val loss: 73.99675, acc: 74.50000
Thu Dec 14 23:23:02 2023 Epoch 58, lr: 0.0000986, val loss: 60.49622, acc: 80.09000
Thu Dec 14 23:25:16 2023 Epoch 59, lr: 0.0000986, val loss: 60.66590, acc: 79.84000
Thu Dec 14 23:25:30 2023 Epoch 52, lr: 0.0000989, val loss: 68.95601, acc: 76.03000
Thu Dec 14 23:27:29 2023 Epoch 60, lr: 0.0000985, val loss: 62.67548, acc: 79.16000
Thu Dec 14 23:28:05 2023 Epoch 53, lr: 0.0000989, val loss: 68.00493, acc: 76.70000
Thu Dec 14 23:29:43 2023 Epoch 61, lr: 0.0000985, val loss: 62.69861, acc: 78.76000
Thu Dec 14 23:30:35 2023 Epoch 54, lr: 0.0000988, val loss: 67.82909, acc: 76.67000
Thu Dec 14 23:31:57 2023 Epoch 62, lr: 0.0000984, val loss: 64.44296, acc: 78.78000
Thu Dec 14 23:33:05 2023 Epoch 55, lr: 0.0000988, val loss: 67.29557, acc: 76.60000
Thu Dec 14 23:34:17 2023 Epoch 63, lr: 0.0000984, val loss: 58.80598, acc: 81.07000
Thu Dec 14 23:35:35 2023 Epoch 56, lr: 0.0000987, val loss: 69.96760, acc: 76.09000
Thu Dec 14 23:36:30 2023 Epoch 64, lr: 0.0000983, val loss: 62.55837, acc: 79.06000
Thu Dec 14 23:38:05 2023 Epoch 57, lr: 0.0000987, val loss: 70.08361, acc: 75.74000
Thu Dec 14 23:38:44 2023 Epoch 65, lr: 0.0000983, val loss: 59.67908, acc: 80.01000
Thu Dec 14 23:40:40 2023 Epoch 58, lr: 0.0000986, val loss: 67.21914, acc: 77.20000
Thu Dec 14 23:40:58 2023 Epoch 66, lr: 0.0000982, val loss: 63.62085, acc: 80.18000
Thu Dec 14 23:43:10 2023 Epoch 59, lr: 0.0000986, val loss: 67.57939, acc: 76.70000
Thu Dec 14 23:43:12 2023 Epoch 67, lr: 0.0000982, val loss: 58.89821, acc: 80.61000
Thu Dec 14 23:45:25 2023 Epoch 68, lr: 0.0000981, val loss: 60.22881, acc: 79.75000
Thu Dec 14 23:45:46 2023 Epoch 60, lr: 0.0000985, val loss: 64.67953, acc: 77.31000
Thu Dec 14 23:47:39 2023 Epoch 69, lr: 0.0000980, val loss: 63.57386, acc: 79.76000
Thu Dec 14 23:48:16 2023 Epoch 61, lr: 0.0000985, val loss: 68.93391, acc: 75.90000
Thu Dec 14 23:49:53 2023 Epoch 70, lr: 0.0000980, val loss: 59.67686, acc: 80.76000
Thu Dec 14 23:50:45 2023 Epoch 62, lr: 0.0000984, val loss: 66.08868, acc: 76.84000
Thu Dec 14 23:52:07 2023 Epoch 71, lr: 0.0000979, val loss: 61.40849, acc: 79.77000
Thu Dec 14 23:53:15 2023 Epoch 63, lr: 0.0000984, val loss: 67.17053, acc: 76.38000
Thu Dec 14 23:54:21 2023 Epoch 72, lr: 0.0000979, val loss: 60.12617, acc: 80.66000
Thu Dec 14 23:55:45 2023 Epoch 64, lr: 0.0000983, val loss: 66.07407, acc: 76.97000
Thu Dec 14 23:56:34 2023 Epoch 73, lr: 0.0000978, val loss: 60.94045, acc: 80.69000
Thu Dec 14 23:58:22 2023 Epoch 65, lr: 0.0000983, val loss: 64.96695, acc: 77.53000
Thu Dec 14 23:58:48 2023 Epoch 74, lr: 0.0000977, val loss: 63.15783, acc: 80.40000
Fri Dec 15 00:00:51 2023 Epoch 66, lr: 0.0000982, val loss: 66.47041, acc: 77.29000
Fri Dec 15 00:01:02 2023 Epoch 75, lr: 0.0000977, val loss: 61.95873, acc: 80.20000
Fri Dec 15 00:03:16 2023 Epoch 76, lr: 0.0000976, val loss: 61.78602, acc: 80.33000
Fri Dec 15 00:03:27 2023 Epoch 67, lr: 0.0000982, val loss: 64.39730, acc: 77.68000
Fri Dec 15 00:05:29 2023 Epoch 77, lr: 0.0000976, val loss: 62.85630, acc: 80.36000
Fri Dec 15 00:05:57 2023 Epoch 68, lr: 0.0000981, val loss: 65.62871, acc: 77.24000
Fri Dec 15 00:07:43 2023 Epoch 78, lr: 0.0000975, val loss: 61.17512, acc: 80.89000
Fri Dec 15 00:08:26 2023 Epoch 69, lr: 0.0000980, val loss: 68.73150, acc: 76.70000
Fri Dec 15 00:09:57 2023 Epoch 79, lr: 0.0000974, val loss: 59.59135, acc: 80.72000
Fri Dec 15 00:11:03 2023 Epoch 70, lr: 0.0000980, val loss: 63.12717, acc: 78.47000
Fri Dec 15 00:12:11 2023 Epoch 80, lr: 0.0000974, val loss: 64.94900, acc: 79.57000
Fri Dec 15 00:13:32 2023 Epoch 71, lr: 0.0000979, val loss: 64.71519, acc: 78.03000
Fri Dec 15 00:14:25 2023 Epoch 81, lr: 0.0000973, val loss: 64.56739, acc: 79.62000
Fri Dec 15 00:16:02 2023 Epoch 72, lr: 0.0000979, val loss: 67.81893, acc: 77.07000
Fri Dec 15 00:16:38 2023 Epoch 82, lr: 0.0000972, val loss: 65.50650, acc: 80.35000
Fri Dec 15 00:18:32 2023 Epoch 73, lr: 0.0000978, val loss: 63.46678, acc: 78.08000
Fri Dec 15 00:18:52 2023 Epoch 83, lr: 0.0000971, val loss: 63.42044, acc: 80.01000
Fri Dec 15 00:21:01 2023 Epoch 74, lr: 0.0000977, val loss: 63.38492, acc: 78.09000
Fri Dec 15 00:21:12 2023 Epoch 84, lr: 0.0000971, val loss: 62.09562, acc: 81.11000
Fri Dec 15 00:23:31 2023 Epoch 85, lr: 0.0000970, val loss: 59.74741, acc: 81.35000
Fri Dec 15 00:23:37 2023 Epoch 75, lr: 0.0000977, val loss: 62.88089, acc: 79.10000
Fri Dec 15 00:25:45 2023 Epoch 86, lr: 0.0000969, val loss: 66.33417, acc: 79.68000
Fri Dec 15 00:26:07 2023 Epoch 76, lr: 0.0000976, val loss: 62.24936, acc: 78.74000
Fri Dec 15 00:27:59 2023 Epoch 87, lr: 0.0000969, val loss: 63.13248, acc: 80.50000
Fri Dec 15 00:28:37 2023 Epoch 77, lr: 0.0000976, val loss: 63.56422, acc: 78.71000
Fri Dec 15 00:30:19 2023 Epoch 88, lr: 0.0000968, val loss: 61.38915, acc: 81.63000
Fri Dec 15 00:31:06 2023 Epoch 78, lr: 0.0000975, val loss: 66.88880, acc: 77.49000
Fri Dec 15 00:32:33 2023 Epoch 89, lr: 0.0000967, val loss: 62.69834, acc: 81.14000
Fri Dec 15 00:33:36 2023 Epoch 79, lr: 0.0000974, val loss: 63.65172, acc: 78.42000
Fri Dec 15 00:34:52 2023 Epoch 90, lr: 0.0000966, val loss: 60.07814, acc: 81.76000
Fri Dec 15 00:36:06 2023 Epoch 80, lr: 0.0000974, val loss: 64.11978, acc: 78.21000
Fri Dec 15 00:37:06 2023 Epoch 91, lr: 0.0000966, val loss: 62.32292, acc: 80.89000
Fri Dec 15 00:38:36 2023 Epoch 81, lr: 0.0000973, val loss: 68.53939, acc: 77.10000
Fri Dec 15 00:39:20 2023 Epoch 92, lr: 0.0000965, val loss: 63.26079, acc: 80.22000
Fri Dec 15 00:41:05 2023 Epoch 82, lr: 0.0000972, val loss: 67.65260, acc: 77.46000
Fri Dec 15 00:41:39 2023 Epoch 93, lr: 0.0000964, val loss: 59.65894, acc: 81.78000
Fri Dec 15 00:43:35 2023 Epoch 83, lr: 0.0000971, val loss: 63.09655, acc: 78.66000
Fri Dec 15 00:43:53 2023 Epoch 94, lr: 0.0000963, val loss: 63.63329, acc: 80.89000
Fri Dec 15 00:46:05 2023 Epoch 84, lr: 0.0000971, val loss: 62.94283, acc: 78.58000
Fri Dec 15 00:46:07 2023 Epoch 95, lr: 0.0000963, val loss: 65.67873, acc: 80.76000
Fri Dec 15 00:48:21 2023 Epoch 96, lr: 0.0000962, val loss: 64.05158, acc: 81.10000
Fri Dec 15 00:48:34 2023 Epoch 85, lr: 0.0000970, val loss: 63.55749, acc: 78.48000
Fri Dec 15 00:50:35 2023 Epoch 97, lr: 0.0000961, val loss: 65.36885, acc: 80.07000
Fri Dec 15 00:51:04 2023 Epoch 86, lr: 0.0000969, val loss: 65.78683, acc: 78.45000
Fri Dec 15 00:52:49 2023 Epoch 98, lr: 0.0000960, val loss: 64.41990, acc: 81.49000
Fri Dec 15 00:53:34 2023 Epoch 87, lr: 0.0000969, val loss: 63.28204, acc: 79.09000
Fri Dec 15 00:55:02 2023 Epoch 99, lr: 0.0000959, val loss: 64.19165, acc: 81.25000
Fri Dec 15 00:56:09 2023 Epoch 88, lr: 0.0000968, val loss: 62.50376, acc: 79.11000
Fri Dec 15 00:57:16 2023 Epoch 100, lr: 0.0000958, val loss: 67.16580, acc: 79.73000
Fri Dec 15 00:58:39 2023 Epoch 89, lr: 0.0000967, val loss: 67.53147, acc: 78.37000
Fri Dec 15 00:59:30 2023 Epoch 101, lr: 0.0000958, val loss: 65.88181, acc: 81.33000
Fri Dec 15 01:01:15 2023 Epoch 90, lr: 0.0000966, val loss: 61.61725, acc: 79.26000
Fri Dec 15 01:01:44 2023 Epoch 102, lr: 0.0000957, val loss: 63.03022, acc: 81.38000
Fri Dec 15 01:03:44 2023 Epoch 91, lr: 0.0000966, val loss: 66.22930, acc: 78.11000
Fri Dec 15 01:03:57 2023 Epoch 103, lr: 0.0000956, val loss: 65.39224, acc: 80.46000
Fri Dec 15 01:06:11 2023 Epoch 104, lr: 0.0000955, val loss: 63.72642, acc: 81.53000
Fri Dec 15 01:06:14 2023 Epoch 92, lr: 0.0000965, val loss: 66.06466, acc: 77.75000
Fri Dec 15 01:08:31 2023 Epoch 105, lr: 0.0000954, val loss: 62.72873, acc: 82.02000
Fri Dec 15 01:08:50 2023 Epoch 93, lr: 0.0000964, val loss: 60.19301, acc: 79.80000
Fri Dec 15 01:10:45 2023 Epoch 106, lr: 0.0000953, val loss: 67.38761, acc: 81.19000
Fri Dec 15 01:11:20 2023 Epoch 94, lr: 0.0000963, val loss: 66.69277, acc: 77.91000
Fri Dec 15 01:12:58 2023 Epoch 107, lr: 0.0000952, val loss: 64.35252, acc: 81.75000
Fri Dec 15 01:13:49 2023 Epoch 95, lr: 0.0000963, val loss: 64.25101, acc: 78.83000
Fri Dec 15 01:15:12 2023 Epoch 108, lr: 0.0000952, val loss: 67.67030, acc: 81.66000
Fri Dec 15 01:16:19 2023 Epoch 96, lr: 0.0000962, val loss: 64.16747, acc: 79.52000
Fri Dec 15 01:17:26 2023 Epoch 109, lr: 0.0000951, val loss: 63.12645, acc: 81.92000
Fri Dec 15 01:18:49 2023 Epoch 97, lr: 0.0000961, val loss: 62.29362, acc: 79.55000
Fri Dec 15 01:19:40 2023 Epoch 110, lr: 0.0000950, val loss: 65.36287, acc: 81.55000
Fri Dec 15 01:21:18 2023 Epoch 98, lr: 0.0000960, val loss: 61.94778, acc: 79.06000
Fri Dec 15 01:21:53 2023 Epoch 111, lr: 0.0000949, val loss: 63.77917, acc: 81.33000
Fri Dec 15 01:23:48 2023 Epoch 99, lr: 0.0000959, val loss: 61.05548, acc: 79.75000
Fri Dec 15 01:24:07 2023 Epoch 112, lr: 0.0000948, val loss: 69.12325, acc: 80.73000
Fri Dec 15 01:26:18 2023 Epoch 100, lr: 0.0000958, val loss: 62.42181, acc: 79.06000
Fri Dec 15 01:26:21 2023 Epoch 113, lr: 0.0000947, val loss: 63.43585, acc: 81.13000
Fri Dec 15 01:28:35 2023 Epoch 114, lr: 0.0000946, val loss: 69.61653, acc: 80.92000
Fri Dec 15 01:28:48 2023 Epoch 101, lr: 0.0000958, val loss: 62.33948, acc: 79.39000
Fri Dec 15 01:30:49 2023 Epoch 115, lr: 0.0000945, val loss: 66.72245, acc: 81.75000
Fri Dec 15 01:31:23 2023 Epoch 102, lr: 0.0000957, val loss: 60.52617, acc: 79.87000
Fri Dec 15 01:33:02 2023 Epoch 116, lr: 0.0000944, val loss: 69.61934, acc: 81.27000
Fri Dec 15 01:33:59 2023 Epoch 103, lr: 0.0000956, val loss: 62.40660, acc: 79.92000
Fri Dec 15 01:35:22 2023 Epoch 117, lr: 0.0000943, val loss: 66.02113, acc: 82.08000
Fri Dec 15 01:36:29 2023 Epoch 104, lr: 0.0000955, val loss: 62.46252, acc: 79.38000
Fri Dec 15 01:37:36 2023 Epoch 118, lr: 0.0000942, val loss: 64.30710, acc: 81.59000
Fri Dec 15 01:38:58 2023 Epoch 105, lr: 0.0000954, val loss: 64.70389, acc: 79.70000
Fri Dec 15 01:39:50 2023 Epoch 119, lr: 0.0000941, val loss: 73.07081, acc: 80.89000
Fri Dec 15 01:41:28 2023 Epoch 106, lr: 0.0000953, val loss: 65.35408, acc: 78.96000
Fri Dec 15 01:42:03 2023 Epoch 120, lr: 0.0000940, val loss: 69.98428, acc: 80.81000
Fri Dec 15 01:43:58 2023 Epoch 107, lr: 0.0000952, val loss: 67.31682, acc: 78.76000
