Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
12-04-23_03:29:09, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 65.93, 97.04, 66.16, 97.15, 65.31, 96.83
12-04-23_03:30:38, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 64.63, 97.03, 64.76, 97.12, 63.55, 96.71
12-04-23_03:31:46, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 64.30, 96.77, 64.64, 96.83, 62.84, 96.43
12-04-23_03:42:38, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 58.97, 95.67, 59.04, 95.79, 56.50, 95.00
12-04-23_09:12:44, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 82.78, 98.62, 82.92, 98.72, 84.91, 99.04
12-04-23_09:18:32, configs/cifar10/resnet50-kn-tiled-4.yaml, baseline, 0.0, 82.50, 98.75, 82.96, 98.84, 85.44, 99.10
12-04-23_13:11:45, configs/cifar10/dense-simplevit-kn-tiled-full-4.yaml, baseline, 0.0, 42.72, 90.06, 42.82, 90.23, 43.74, 90.33
12-04-23_23:11:26, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 92.74, 99.64, 92.93, 99.72, 99.96, 100.00
12-04-23_23:14:06, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 91.43, 99.67, 91.58, 99.72, 99.02, 100.00
12-04-23_23:52:49, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 91.24, 99.70, 91.40, 99.76, 98.95, 100.00
12-05-23_00:02:20, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 92.94, 99.73, 93.15, 99.77, 99.98, 100.00
12-05-23_00:49:46, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 92.48, 99.64, 92.78, 99.71, 99.96, 100.00
12-05-23_00:53:54, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 91.13, 99.71, 91.47, 99.75, 99.02, 100.00
12-05-23_01:20:47, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 90.98, 99.61, 91.35, 99.71, 98.99, 100.00
12-05-23_01:29:13, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 93.06, 99.75, 93.14, 99.78, 99.97, 100.00
12-05-23_20:23:50, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 91.73, 99.73, 91.89, 99.75, 99.39, 100.00
12-05-23_21:00:00, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 92.19, 99.45, 92.31, 99.51, 99.90, 100.00
12-06-23_00:11:12, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 89.89, 99.55, 89.90, 99.63, 96.32, 99.98
12-06-23_00:14:28, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 92.79, 99.67, 92.97, 99.76, 99.96, 100.00
12-06-23_00:30:21, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 45.17, 98.46, 45.47, 98.56, 49.97, 100.00
12-06-23_00:37:49, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 93.08, 99.71, 93.24, 99.78, 99.97, 100.00
12-06-23_00:41:24, configs/cifar10/dense-simplevit-kn-tiled-full-4.yaml, baseline, 0.0, 54.25, 94.51, 54.30, 94.68, 54.76, 94.43
12-06-23_01:57:06, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 93.02, 99.67, 93.02, 99.74, 99.97, 100.00
12-06-23_02:14:43, configs/cifar10/resnet18-kn-tiled-4.yaml, baseline, 0.0, 93.02, 99.71, 93.08, 99.77, 99.97, 100.00
12-06-23_02:45:17, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 92.14, 99.66, 92.14, 99.75, 99.43, 100.00
12-06-23_03:44:45, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.16, 99.65, 90.50, 99.68, 96.11, 99.97
12-07-23_03:12:33, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 44.05, 97.99, 44.62, 98.07, 48.43, 99.70
12-07-23_03:13:02, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 42.89, 97.67, 43.14, 97.71, 47.26, 99.47
12-07-23_03:24:05, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 40.56, 96.33, 41.03, 96.43, 42.45, 97.41
12-07-23_03:27:27, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 44.39, 98.06, 44.77, 98.15, 49.83, 100.00
12-07-23_03:59:16, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 51.84, 95.75, 52.59, 95.75, 56.00, 99.64
12-07-23_04:07:35, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 87.10, 97.71, 87.23, 97.73, 97.95, 99.98
12-07-23_04:16:18, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 50.17, 94.43, 51.11, 94.48, 54.22, 98.07
12-07-23_04:38:23, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 49.14, 92.74, 49.46, 92.74, 50.87, 94.12
12-07-23_06:53:32, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.01, 99.61, 90.01, 99.71, 96.08, 99.98
12-07-23_07:02:52, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.00, 99.66, 90.08, 99.72, 96.18, 99.96
12-07-23_07:04:50, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 91.51, 99.64, 91.69, 99.70, 99.29, 100.00
12-07-23_09:17:51, configs/cifar10/resnet18-kn-tiled-32.yaml, baseline, 0.0, 87.25, 99.57, 87.27, 99.57, 91.65, 99.82
12-07-23_09:37:53, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 91.39, 99.65, 91.58, 99.71, 99.35, 100.00
12-07-23_10:31:57, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 89.72, 99.64, 89.79, 99.69, 96.00, 99.98
12-07-23_10:41:17, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 89.82, 99.54, 89.82, 99.71, 96.12, 99.96
12-07-23_12:43:14, configs/cifar10/resnet18-kn-tiled-32.yaml, baseline, 0.0, 86.94, 99.48, 87.10, 99.53, 91.63, 99.79
12-08-23_02:21:59, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 43.46, 97.87, 43.57, 98.02, 48.13, 99.70
12-08-23_02:27:01, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 44.37, 98.35, 44.88, 98.42, 49.85, 100.00
12-08-23_02:35:45, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 44.54, 98.20, 45.01, 98.42, 48.75, 99.78
12-08-23_02:38:49, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 42.23, 97.37, 42.41, 97.40, 44.86, 98.49
12-08-23_03:15:22, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 87.51, 97.72, 87.61, 97.81, 98.39, 99.99
12-08-23_03:16:19, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 52.33, 95.47, 52.79, 95.65, 56.28, 99.77
12-08-23_03:25:26, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 50.92, 94.76, 51.63, 94.85, 54.73, 98.69
12-08-23_03:52:43, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 49.89, 93.85, 50.57, 93.86, 51.98, 96.11
12-08-23_06:11:51, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 44.99, 98.51, 45.27, 98.51, 49.94, 100.00
12-08-23_07:31:35, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 88.84, 97.69, 88.94, 97.93, 99.26, 100.00
12-08-23_13:39:07, configs/cifar10/vgg-kn-dense.yaml, baseline, 0.0, 93.35, 99.73, 93.48, 99.80, 100.00, 100.00
12-08-23_16:53:10, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 88.40, 97.82, 88.49, 97.94, 99.24, 100.00
12-08-23_19:04:17, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 82.35, 96.28, 83.08, 97.25, 87.46, 98.57
12-08-23_19:07:51, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 81.22, 95.61, 83.49, 97.30, 88.22, 98.75
12-10-23_23:44:37, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 44.08, 97.76, 44.17, 97.85, 49.20, 99.94
